Spot,Occurrence,Age_Status,Ree_Status,Age,Error,AgeGroup,Y,Nb,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U,Th
JSEA2-3-2-2,Garnet,Include,Include,161,5,160,156.79,1.01,0.05,0.19,NA,0.01,NA,0.17,0.14,3.09,1.16,16.89,6.49,26.72,5.85,58.15,15.32,9548.854,117.884,0.648
JSEA2-3-9,Garnet,Include,Include,163,3,160,78.76,0.58,0,0.28,NA,0.04,NA,0.4,0.47,6.35,1.82,14.41,2.69,6.16,0.69,3.6,0.33,NA,NA,NA
JSEA2-3-9-2,Garnet,Include,Include,163,3,160,112.11,0.59,0.02,0.47,NA,0.13,NA,1.17,1.12,12.39,3.36,22.92,4.18,9.95,1.07,4.63,0.46,8778.477,7.852,0.056
JSEA2-3-11,Garnet,Exclude,Include,170,6,170,148.59,1.15,NA,0.05,NA,0.02,NA,0.08,0.06,1.27,0.67,14.14,5.9,28.03,5.38,48.83,8.21,11528.699,18.787,0.476
JSEA2-3-16-1,Garnet,Exclude,Include,145,5,140,69.83,8.19,0.2,0.51,NA,0.15,NA,0.27,0.32,3.51,1.51,11.62,2.44,8.52,1.52,11.13,2.73,10787.355,18.061,0.325
JSEA2-3-16-2,Garnet,Include,Include,164,5,160,58.75,0.48,5.9,0.71,NA,2.09,NA,0.45,0.25,2.54,0.58,7.89,2.15,6.87,1.43,8.98,1.81,12906.268,19.621,0.7
JSEA2-3-17-1,Garnet,Exclude,Exclude,164,10,160,72.48,0.67,NA,NA,NA,0.37,NA,0.79,0.31,5.32,1.34,10.19,2.39,5.5,0.93,6.45,1.34,12549.255,27.191,0.176
JSEA2-3-17-2,Garnet,Exclude,Exclude,197,10,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9021.511,15.794,0.121
JSEA2-4-5,Garnet,Include,Exclude,169,7,160,91.3,0.63,0.19,NA,NA,0.02,NA,0.07,0.12,1.54,0.31,6.37,3.43,13.54,2.76,24.49,5.47,8594.562,9.152,0.056
JSEA2-4-6.1,Garnet,Exclude,Exclude,164,35,160,75.47,0.93,NA,NA,NA,0.01,NA,0.25,0.04,1.18,0.38,5.34,2.66,13.11,3.18,28.55,5.98,9671.614,116.107,1.534
JSEA2-4-7-1,Garnet,Include,Include,183,4,180,24.53,0.48,NA,NA,NA,0.02,NA,0.22,0.32,3.97,0.84,4.62,0.71,2.16,0.36,0.89,0.23,8771.037,23.863,0.41
JSEA2-5-1-1,Garnet,Include,Include,177,5,170,57.25,0.54,NA,0.11,NA,0.01,NA,0.08,0.09,1.51,0.49,6.3,1.87,7.38,1.25,10.88,2.13,9043.424,68.916,0.637
JSEA2-6-5-1,Garnet,Include,Include,201,12,200,64.96,0.62,NA,0.48,NA,0.06,NA,0.7,0.81,NA,NA,NA,0.62,2.63,1.04,7.95,1.89,9832.355,15.609,0.148
JSEA2-6-5-2,Garnet,Exclude,Exclude,210,17,200,25.8,0.81,NA,NA,NA,NA,NA,0.04,NA,8.22,2.17,15.34,2.63,4.26,0.61,3.9,0.4,NA,NA,NA
